"SPEAKER","SENTENCE","DATAID","DOMAINID","DOMAIN","CATEGORY","SPEAKERID","SENTENCEID","MAIN","SUB","QA","QACNCT","MQ","SQ","UA","SA","개체명","용어사전","지식베이스",""
"점원","네 그 정도 생각하시면 돼요","홍은민_신발_6","B","의복의류점","신발","0","29","가격대별문의","","A","","","","","네 그 정도 생각하시면 돼요","정도, 생각","","",""
"고객","가격이 안 붙어있네요?","홍은민_신발_7","B","의복의류점","신발","1","1","제품가격문의","","Q","","가격이 안 붙어있네요?","","","","가격","","",""
"점원","가격은 10만 9천 원입니다","홍은민_신발_7","B","의복의류점","신발","0","2","제품가격문의","","A","","","","","가격은 10만 9천 원입니다","가격, 10만 9천 원","","10만 9천 원/금액",""
"고객","학생들 주로 어떤거 좋아해요?","홍은민_신발_7","B","의복의류점","신발","1","3","연령에따른제품추천요청","","Q","","학생들 주로 어떤거 좋아해요?","","","","학생","","학생/대상",""
"점원","몇 살이에요?","홍은민_신발_7","B","의복의류점","신발","0","4","종류별신발제품문의요청","연령대","Q","","","몇 살이에요?","","","몇 살","","",""
"고객","고2예","홍은민_신발_7","B","의복의류점","신발","1","5","종류별신발제품문의요청","연령대","A","","","","고2예","","고2","","고2/나이",""
"점원","남자예요?","홍은민_신발_7","B","의복의류점","신발","0","6","종류별신발제품문의요청","성별","Q","","","남자예요?","","","남자","","남자/성별",""
"고객","여자요","홍은민_신발_7","B","의복의류점","신발","1","7","종류별신발제품문의요청","성별","A","","","","여자요","","여자","","여자/성별",""
"점원","지금 신고 있는 신발은 어떤 종류인가요?","홍은민_신발_7","B","의복의류점","신발","0","8","종류별신발제품문의요청","제품종류","Q","","","지금 신고 있는 신발은 어떤 종류인가요?","","","지금, 신발, 종류","","지금/시간",""
"고객","지금은 나이키 신고 있어요","홍은민_신발_7","B","의복의류점","신발","1","9","종류별신발제품문의요청","제품종류","A","","","","지금은 나이키 신고 있어요","","지금, 나이키","","지금/시간, 나이키/브랜드",""
"점원","슈퍼스타가 애들한테 인기예요","홍은민_신발_7","B","의복의류점","신발","0","10","연령에따른제품추천요청","","A","3","","","","슈퍼스타가 애들한테 인기예요","슈퍼스타, 인기","","슈퍼스타/스타일",""
"고객","이런거는 할인하는 거예요?","홍은민_신발_7","B","의복의류점","신발","1","11","할인여부문의","","Q","","이런거는 할인하는 거예요?","","","","할인","","",""
"점원","할인하는데 사이즈가 많지는 않아요","홍은민_신발_7","B","의복의류점","신발","0","12","할인여부문의","","A","","","","","할인하는데 사이즈가 많지는 않아요","할인, 사이즈","","",""
"고객","이거 커보인다 그지예?","홍은민_신발_7","B","의복의류점","신발","1","13","사이즈문의","","Q","","이거 커보인다 그지예?","","","","이거","","",""
"점원","사이즈 몇 미리 신으시는 데요?","홍은민_신발_7","B","의복의류점","신발","0","14","사이즈문의","사이즈","Q","","","사이즈 몇 미리 신으시는 데요?","","","사이즈, 몇 미리","","",""
"고객","245.0","홍은민_신발_7","B","의복의류점","신발","1","15","사이즈문의","사이즈","A","","","","245.0","","245","","245/사이즈",""
"점원","45 없지 싶은데요","홍은민_신발_7","B","의복의류점","신발","0","16","사이즈문의","","A","13","","","","45 없지 싶은데요","45","45/245","245/사이즈",""
"고객","이거는 세 줄없네?","홍은민_신발_7","B","의복의류점","신발","1","17","제품디자인확인","","Q","","이거는 세 줄없네?","","","","이거, 세 줄","","세 줄/무늬",""
"점원","삼선 없는 신발 많아요","홍은민_신발_7","B","의복의류점","신발","0","18","제품디자인확인","","A","","","","","삼선 없는 신발 많아요","삼선, 신발","","삼선/무늬, 신발/제품",""
"고객","가격대는 어떻게 돼요?","홍은민_신발_7","B","의복의류점","신발","1","19","제품가격문의","","Q","","가격대는 어떻게 돼요?","","","","가격대","","",""
"점원","10만 9천 원이예요","홍은민_신발_7","B","의복의류점","신발","0","20","제품가격문의","","A","","","","","10만 9천 원이예요","10만 9천 원","","10만 9천 원/금액",""
"고객","이런거도 여학생들 좋아해요?","홍은민_신발_7","B","의복의류점","신발","1","21","성별선호에따른선택문의","","Q","","이런거도 여학생들 좋아해요?","","","","여학생","","여학생/성별",""
"점원","여학생들은 이런 스타일을 별로 선호하지 않습니다.","홍은민_신발_7","B","의복의류점","신발","0","22","성별선호에따른선택문의","","A","","","","","여학생들은 이런 스타일을 별로 선호하지 않습니다.","여학생, 스타일, 선호","","여학생/성별",""
"고객","이거 더러워지면 물 빨래해요?","홍은민_신발_7","B","의복의류점","신발","1","23","드라이크리닝여부문의","","Q","","이거 더러워지면 물 빨래해요?","","","","이거, 물 빨래","","물 빨래/세탁방법",""
"점원","네 물 세탁해서 빠짝 말리셔야죠","홍은민_신발_7","B","의복의류점","신발","0","24","드라이크리닝여부문의","","A","","","","","네 물 세탁해서 빠짝 말리셔야죠","물 세탁","","물 세탁/세탁방법",""
"고객","가죽이에요?","홍은민_신발_7","B","의복의류점","신발","1","25","소재문의","","Q","","가죽이에요?","","","","가죽","","가죽/소재",""
"점원","네 가죽이예요","홍은민_신발_7","B","의복의류점","신발","0","26","소재문의","","A","","","","","네 가죽이예요","가죽","","가죽/소재",""
"고객","세일 기간은 언제예요? ","홍은민_신발_7","B","의복의류점","신발","1","27","세일기간문의","","Q","","세일 기간은 언제예요? ","","","","세일 기간, 언제","","세일 기간/기간",""
"점원","세일은 기본 10% 해드리고요 추가 세일은 없습니다","홍은민_신발_7","B","의복의류점","신발","0","28","세일기간문의","","A","","","","","세일은 기본 10% 해드리고요 추가 세일은 없습니다","세일, 기본, 10%, 추가","","10%/할인율",""
"고객","상시 10%예요?","홍은민_신발_7","B","의복의류점","신발","1","29","할인여부문의","","Q","","상시 10%예요?","","","","상시, 10%","","10%/할인율",""
"점원","10%에서 20% 그 안팎이에요","홍은민_신발_7","B","의복의류점","신발","0","30","할인여부문의","","A","","","","","10%에서 20% 그 안팎이에요","10%, 20%, 안팎","","10%/할인율, 20%/할인율",""
"고객","여기 일요일도 하지요?","홍은민_신발_7","B","의복의류점","신발","1","31","공휴일영업문의","","Q","","여기 일요일도 하지요?","","","","여기, 일요일","","여기/장소, 일요일/요일",""
"점원","네 일요일도 합니다.","홍은민_신발_7","B","의복의류점","신발","0","32","공휴일영업문의","","A","","","","","네 일요일도 합니다.","일요일","","일요일/요일",""
"고객","저녁에는 몇 시에 문 닫아요?","홍은민_신발_7","B","의복의류점","신발","1","33","마감시간문의","","Q","","저녁에는 몇 시에 문 닫아요?","","","","저녁, 몇 시, 문","","저녁/시간",""
"점원","8시 반에서 9시 정도요","홍은민_신발_7","B","의복의류점","신발","0","34","마감시간문의","","A","","","","","8시 반에서 9시 정도요","8시 반, 9시, 정도","","8시 반/마감시간, 9시/마감시간",""
"고객","학생들은 뭐 어떤거 좋아해요?","홍은민_신발_8","B","의복의류점","신발","1","1","연령에따른제품추천요청","","Q","","학생들은 뭐 어떤거 좋아해요?","","","","학생","","학생/대상",""
"점원","여학생 이예요?","홍은민_신발_8","B","의복의류점","신발","0","2","종류별신발제품문의요청","성별","Q","","","여학생 이예요?","","","여학생","","여학생/성별",""
"고객","네 여학생이요","홍은민_신발_8","B","의복의류점","신발","1","3","종류별신발제품문의요청","성별","A","","","","네 여학생이요","","여학생","","여학생/성별",""
"점원","몇 살이에요?","홍은민_신발_8","B","의복의류점","신발","0","4","종류별신발제품문의요청","연령대","Q","","","몇 살이에요?","","","몇 살","","",""
"고객","고2요","홍은민_신발_8","B","의복의류점","신발","1","5","종류별신발제품문의요청","연령대","A","","","","고2요","","고2","","고2/나이",""
"점원","학생이면 이런게 제일 잘 나가고요 ","홍은민_신발_8","B","의복의류점","신발","0","6","연령에따른제품추천요청","","A","1","","","","학생이면 이런게 제일 잘 나가고요 ","학생","","학생/대상",""
"고객","가격이 얼마예요?","홍은민_신발_8","B","의복의류점","신발","1","7","제품가격문의","","Q","","가격이 얼마예요?","","","","가격, 얼마","","",""
"점원","9만 9천 원이요","홍은민_신발_8","B","의복의류점","신발","0","8","제품가격문의","","A","","","","","9만 9천 원이요","9만 9천 원","","9만 9천 원/금액",""
"고객","세일 한 거예요?","홍은민_신발_8","B","의복의류점","신발","1","9","할인여부문의","","Q","","세일 한 거예요?","","","","세일","","",""
"점원","네 맞습니다","홍은민_신발_8","B","의복의류점","신발","0","10","할인여부문의","","A","","","","","네 맞습니다","","","",""
"고객","이거 가죽인가요?","홍은민_신발_8","B","의복의류점","신발","1","11","소재문의","","Q","","이거 가죽인가요?","","","","이거, 가죽","","가죽/소재",""
"점원","네 맞아요","홍은민_신발_8","B","의복의류점","신발","0","12","소재문의","","A","","","","","네 맞아요","","","",""
"고객","가죽은 더러워지면 세척은 어떻게 해야 돼요?","홍은민_신발_8","B","의복의류점","신발","1","13","특수제질세무가죽세탁문의","","Q","","가죽은 더러워지면 세척은 어떻게 해야 돼요?","","","","가죽, 세척","","가죽/소재",""
"점원","가죽 세척하는 게 따로 나오거든요","홍은민_신발_8","B","의복의류점","신발","0","14","특수제질세무가죽세탁문의","","A","","","","","가죽 세척하는 게 따로 나오거든요","가죽, 세척","","가죽/소재",""
"고객","클리너는 가격 얼마 정도 해요?","홍은민_신발_8","B","의복의류점","신발","1","15","신발과관련된MD구매","","Q","","클리너는 가격 얼마 정도 해요?","","","","클리너, 가격, 얼마, 정도","","클리너/세척제",""
"점원","일반적으로 시중에 파는 거는 얼마 안해요","홍은민_신발_8","B","의복의류점","신발","0","16","신발과관련된MD구매","","A","","","","","일반적으로 시중에 파는 거는 얼마 안해요","일반적, 시중, 얼마","","",""
"고객","지금 세일하는 건 없어요?","홍은민_신발_8","B","의복의류점","신발","1","17","세일품목문의","","Q","","지금 세일하는 건 없어요?","","","","지금, 세일","","",""
"점원","하는 것도 있어요","홍은민_신발_8","B","의복의류점","신발","0","18","세일품목문의","","A","","","","","하는 것도 있어요","","","",""
"고객","어디 쪽이에요?","홍은민_신발_8","B","의복의류점","신발","1","19","제품위치문의","","Q","","어디 쪽이에요?","","","","어디 쪽","","",""
"점원","잘 나가는 제품들은 거의 다 신상품이고요","홍은민_신발_8","B","의복의류점","신발","0","20","제품위치문의","","A","","","","","잘 나가는 제품들은 거의 다 신상품이고요","제품, 신상품","","신상품/제품",""
"고객","이거는 얼마예요?","홍은민_신발_8","B","의복의류점","신발","1","21","제품가격문의","","Q","","이거는 얼마예요?","","","","이거, 얼마","","",""
"점원","27만 9천 원이요","홍은민_신발_8","B","의복의류점","신발","0","22","제품가격문의","","A","","","","","27만 9천 원이요","27만 9천 원","","27만 9천 원/금액",""
"고객","왜 이래 비싸요 이거는?","홍은민_신발_8","B","의복의류점","신발","1","23","제품가격불만족","","Q","","왜 이래 비싸요 이거는?","","","","이거","","",""
"점원","이쁘고 에어도 많이 들어가 있고 무게가 가볍고요 신발 자체가 편안한 신발이에요 ","홍은민_신발_8","B","의복의류점","신발","0","24","제품가격불만족","","A","","","","","이쁘고 에어도 많이 들어가 있고 무게가 가볍고요 신발 자체가 편안한 신발이에요 ","에어, 무게, 신발, 자체","","신발/제품",""
"고객","이거는 물 빨래 되겠네요?","홍은민_신발_8","B","의복의류점","신발","1","25","드라이크리닝여부문의","","Q","","이거는 물 빨래 되겠네요?","","","","이거, 물 빨래","","물 빨래/세탁방법",""
"점원","물 세탁하셔도 돼요 솔로 문지르셔도 되고요","홍은민_신발_8","B","의복의류점","신발","0","26","드라이크리닝여부문의","","A","","","","","물 세탁하셔도 돼요 솔로 문지르셔도 되고요","물 세탁, 솔","","물 세탁/세탁방법, 솔/도구",""
"고객","깔창 분리 되나요?","홍은민_신발_8","B","의복의류점","신발","1","27","제품구성문의","","Q","","깔창 분리 되나요?","","","","깔창, 분리","","깔창/액세서리",""
"점원","깔창 분리 됩니다","홍은민_신발_8","B","의복의류점","신발","0","28","제품구성문의","","A","","","","","깔창 분리 됩니다","깔창, 분리","","깔창/액세서리",""
"점원","고등학생분들한테 이게 진짜 인기 좋거든요","홍은민_신발_8","B","의복의류점","신발","0","29","종류별신발제품문의요청","제품추천","Q","","","고등학생분들한테 이게 진짜 인기 좋거든요","","","고등학생, 인기","","고등학생/대상",""
"고객","다른데 한 번 보고 올게요","홍은민_신발_8","B","의복의류점","신발","1","30","종류별신발제품문의요청","제품추천","A","","","","다른데 한 번 보고 올게요","","한 번","","한 번/횟수",""
"고객","워킹화는 어디에 있어요?","홍은민_신발_9","B","의복의류점","신발","1","1","종류별신발제품문의요청","","Q","","워킹화는 어디에 있어요?","","","","워킹화, 어디","","워킹화/제품",""
"점원","저희는 워킹화는 아니고 러닝화 있어요","홍은민_신발_9","B","의복의류점","신발","0","2","종류별신발제품문의요청","","A","","","","","저희는 워킹화는 아니고 러닝화 있어요","워킹화, 러닝화","","워킹화/제품, 러닝화/제품",""
"고객","조깅할때 운동할때 신으려고요","홍은민_신발_9","B","의복의류점","신발","1","3","운동종목별기능성제품문의","","Q","","조깅할때 운동할때 신으려고요","","","","조깅, 운동","","조깅/용도, 운동/용도",""
"점원","이런게 지금 좀 저렴하게 나왔어요","홍은민_신발_9","B","의복의류점","신발","0","4","운동종목별기능성제품문의","","A","","","","","이런게 지금 좀 저렴하게 나왔어요","지금","","지금/시간",""
"고객","발피 좀 편한게 어떤거예요?","홍은민_신발_9","B","의복의류점","신발","1","5","착화감","","Q","","발피 좀 편한게 어떤거예요?","","","","발피","","",""
"점원","부스터폼이 달려있는게 좀 편하게 나온거거든요","홍은민_신발_9","B","의복의류점","신발","0","6","착화감","","A","","","","","부스터폼이 달려있는게 좀 편하게 나온거거든요","부스터폼","","부스터폼/소재",""
"고객","부스터폼이 뭐예요?","홍은민_신발_9","B","의복의류점","신발","1","7","소재문의","","Q","","부스터폼이 뭐예요?","","","","부스터폼","","부스터폼/소재",""
"점원","캡슐을 뭉쳐놓은 거예요 충격을 받으면 탄성으로 다시 발에 돌려주는 제품이고요","홍은민_신발_9","B","의복의류점","신발","0","8","소재문의","","A","","","","","캡슐을 뭉쳐놓은 거예요 충격을 받으면 탄성으로 다시 발에 돌려주는 제품이고요","캡슐, 충격, 탄성, 발, 제품","","",""
"고객","21만 9천 원이에요?","홍은민_신발_9","B","의복의류점","신발","1","9","제품가격문의","","Q","","21만 9천 원이에요?","","","","21만 9천 원","","21만 9천 원/금액",""
"점원","네 맞아요","홍은민_신발_9","B","의복의류점","신발","0","10","제품가격문의","","A","","","","","네 맞아요","","","",""
"고객","너무 비싸다","홍은민_신발_9","B","의복의류점","신발","1","11","제품가격불만족","","Q","","너무 비싸다","","","","","","",""
"점원","니트가 가격이 좀 있어요","홍은민_신발_9","B","의복의류점","신발","0","12","제품가격불만족","","A","","","","","니트가 가격이 좀 있어요","니트, 가격","","니트/소재",""
"고객","색깔 이거 파란색 밖에 없어요?","홍은민_신발_9","B","의복의류점","신발","1","13","제품별색깔종류문의","","Q","","색깔 이거 파란색 밖에 없어요?","","","","색깔, 이거, 파란색","","파란색/색상",""
"점원","네 하나예요","홍은민_신발_9","B","의복의류점","신발","0","14","제품별색깔종류문의","","A","","","","","네 하나예요","하나","","하나/수량",""
"고객","원래 파란색 밖에 안나와요?","홍은민_신발_9","B","의복의류점","신발","1","15","제품별색깔종류문의","","Q","","원래 파란색 밖에 안나와요?","","","","파란색","","파란색/색상",""
"점원","네 이 컬러만 있어요","홍은민_신발_9","B","의복의류점","신발","0","16","제품별색깔종류문의","","A","","","","","네 이 컬러만 있어요","컬러","","",""
"점원","금액대 낮은 걸로 보여드릴까요?","홍은민_신발_9","B","의복의류점","신발","0","17","종류별신발제품문의요청","가격","Q","","","금액대 낮은 걸로 보여드릴까요?","","","금액대","","",""
"고객","아뇨 그냥 다양하게 보여주세요","홍은민_신발_9","B","의복의류점","신발","1","18","종류별신발제품문의요청","가격","A","","","","아뇨 그냥 다양하게 보여주세요","","다양","","",""
"점원","이런 것도 괜찮고요","홍은민_신발_9","B","의복의류점","신발","0","19","종류별신발제품문의요청","제품추천","Q","","","이런 것도 괜찮고요","","","","","",""
"고객","이게 참 이쁘긴 이쁜데 쿠션감이 좋겠네요","홍은민_신발_9","B","의복의류점","신발","1","20","종류별신발제품문의요청","제품추천","A","","","","이게 참 이쁘긴 이쁜데 쿠션감이 좋겠네요","","쿠션감","","쿠션감/기능",""
"고객","이거 세일은 언제 해요?","홍은민_신발_9","B","의복의류점","신발","1","21","세일기간문의","","Q","","이거 세일은 언제 해요?","","","","이거, 세일, 언제","","",""
"점원","지금 20% 할인 중이예요","홍은민_신발_9","B","의복의류점","신발","0","22","세일기간문의","","A","","","","","지금 20% 할인 중이예요","지금, 20% 할인","","지금/시간, 20%/할인율",""
"고객","그럼 한 17만 원 정도 하겠네?","홍은민_신발_9","B","의복의류점","신발","1","23","제품가격문의","","Q","","그럼 한 17만 원 정도 하겠네?","","","","17만 원, 정도","","17만 원/금액",""
"점원","재고가 많지 않아요","홍은민_신발_9","B","의복의류점","신발","0","24","제품가격문의","","A","","","","","재고가 많지 않아요","재고","","",""
"고객","이거는 물 빨래하면 돼요?","홍은민_신발_9","B","의복의류점","신발","1","25","드라이크리닝여부문의","","Q","","이거는 물 빨래하면 돼요?","","","","이거, 물 빨래","","물 빨래/세탁방법",""
"점원","니트 소재 같은 경우에는 좀 부드러운 소재로 오염된 부분만 세척하시고 건조해주시면 되세요","홍은민_신발_9","B","의복의류점","신발","0","26","드라이크리닝여부문의","","A","","","","","니트 소재 같은 경우에는 좀 부드러운 소재로 오염된 부분만 세척하시고 건조해주시면 되세요","니트, 소재, 경우, 오염, 부분, 세척, 건조","","니트/소재",""
"고객","저 밖에 행사하는 신발은 다 만 9천 원이에요?","홍은민_신발_10","B","의복의류점","신발","1","1","제품가격문의","","Q","","저 밖에 행사하는 신발은 다 만 9천 원이에요?","","","","밖, 행사, 신발, 만 9천 원","","밖/위치, 신발/제품, 만 9천 원/금액",""
"점원","네 맞습니다","홍은민_신발_10","B","의복의류점","신발","0","2","제품가격문의","","A","","","","","네 맞습니다","","","",""
"고객","이런 거는 얼마예요?","홍은민_신발_10","B","의복의류점","신발","1","3","제품가격문의","","Q","","이런 거는 얼마예요?","","","","얼마","","",""
"점원","바닥에 다 가격 적혀있어요","홍은민_신발_10","B","의복의류점","신발","0","4","제품가격문의","","A","","","","","바닥에 다 가격 적혀있어요","바닥, 가격","","",""
"고객","4만 9천 원?","홍은민_신발_10","B","의복의류점","신발","1","5","제품가격문의","","Q","","4만 9천 원?","","","","4만 9천 원","","4만 9천 원/금액",""
"점원","네 맞아요","홍은민_신발_10","B","의복의류점","신발","0","6","제품가격문의","","A","","","","","네 맞아요","","","",""
"고객","색깔은 검은색 밖에 없어요?","홍은민_신발_10","B","의복의류점","신발","1","7","제품별색깔종류문의","","Q","","색깔은 검은색 밖에 없어요?","","","","색깔, 검은색","","검은색/색상",""
"점원","네 이거 한 가지예요","홍은민_신발_10","B","의복의류점","신발","0","8","제품별색깔종류문의","","A","","","","","네 이거 한 가지예요","이거, 한 가지","","한 가지/가짓수",""
"고객","이거 235 제 사이즈인데 한 번 신어볼 수 있어요?","홍은민_신발_10","B","의복의류점","신발","1","9","매장에서착용문의","","Q","","이거 235 제 사이즈인데 한 번 신어볼 수 있어요?","","","","이거, 235, 사이즈, 한 번","","235/사이즈, 한 번/횟수",""
"점원","그거 신어보세요","홍은민_신발_10","B","의복의류점","신발","0","10","매장에서착용문의","","A","","","","","그거 신어보세요","그거","","",""
"고객","235인데 조금 큰 거 같은데","홍은민_신발_10","B","의복의류점","신발","1","11","착용후맞지않는제품착용방법문의","","Q","","235인데 조금 큰 거 같은데","","","","235, 조금","","235/사이즈",""
"점원","그게 약간 넉넉하게 나와서 거기다가 깔창 하나 더 깔고 보통 신으세요","홍은민_신발_10","B","의복의류점","신발","0","12","착용후맞지않는제품착용방법문의","","A","","","","","그게 약간 넉넉하게 나와서 거기다가 깔창 하나 더 깔고 보통 신으세요","약간, 거기, 깔창, 하나, 보통","","거기/위치, 깔창/액세서리, 하나/수량",""
"고객","30은 없어요?","홍은민_신발_10","B","의복의류점","신발","1","13","착용후다른사이즈문의","","Q","","30은 없어요?","","","","30","30/230","230/사이즈",""
"점원","잠시만요","홍은민_신발_10","B","의복의류점","신발","0","14","착용후다른사이즈문의","","A","","","","","잠시만요","","","",""
"고객","색깔은 다 단색이에요?","홍은민_신발_10","B","의복의류점","신발","1","15","제품별색깔종류문의","","Q","","색깔은 다 단색이에요?","","","","색깔, 단색","","단색/색상",""
"점원","색깔은 거기 있는 게 다예요","홍은민_신발_10","B","의복의류점","신발","0","16","제품별색깔종류문의","","A","","","","","색깔은 거기 있는 게 다예요","색갈, 거기","","거기/위치",""
"고객","이거 30이에요?","홍은민_신발_10","B","의복의류점","신발","1","17","사이즈문의","","Q","","이거 30이에요?","","","","이거, 30","30/230","230/사이즈",""
"점원","네 30이에요","홍은민_신발_10","B","의복의류점","신발","0","18","사이즈문의","","A","","","","","네 30이에요","30","30/230","230/사이즈",""
"고객","이거 35랑 크기 비슷한데 30 맞아요?","홍은민_신발_10","B","의복의류점","신발","1","19","사이즈문의","","Q","","이거 35랑 크기 비슷한데 30 맞아요?","","","","이거, 35, 크기, 30","35/235, 30/230","235/사이즈, 230/사이즈",""
"점원","네 30이에요","홍은민_신발_10","B","의복의류점","신발","0","20","사이즈문의","","A","","","","","네 30이에요","30","30/230","230/사이즈",""
"고객","이거는 할인 안 되는 모양이죠?","홍은민_신발_10","B","의복의류점","신발","1","21","할인여부문의","","Q","","이거는 할인 안 되는 모양이죠?","","","","이거, 할인, 모양","","",""
"점원","현금하시면 3천 원 빼어드려요","홍은민_신발_10","B","의복의류점","신발","0","22","할인여부문의","","A","","","","","현금하시면 3천 원 빼어드려요","현금, 3천 원","","현금/결제방식, 3천 원/할인액",""
"고객","집에서 물 세탁 해주면 되는가?","홍은민_신발_10","B","의복의류점","신발","1","23","드라이크리닝여부문의","","Q","","집에서 물 세탁 해주면 되는가?","","","","집, 물 세탁","","집/장소, 물 세탁/세탁방법",""
"점원","물티슈로 그냥 닦아내셔도 돼요","홍은민_신발_10","B","의복의류점","신발","0","24","드라이크리닝여부문의","","A","","","","","물티슈로 그냥 닦아내셔도 돼요","물티슈","","",""
"고객","4만 6천 원이가?","홍은민_신발_10","B","의복의류점","신발","1","25","제품가격문의","","Q","","4만 6천 원이가?","","","","4만 6천 원","","4만 6천 원/금액",""
"점원","네 4만 6천 원이에요","홍은민_신발_10","B","의복의류점","신발","0","26","제품가격문의","","A","","","","","네 4만 6천 원이에요","4만 6천 원","","4만 6천 원/금액",""
"고객","가방이 너무 예쁜 게 있어갖고 마감하셨어예?","박은영_가방_2","B","의복의류점","가방","1","1","마감시간문의","","Q","","가방이 너무 예쁜 게 있어갖고 마감하셨어예?","","","","가방, 마감","","가방/제품",""
"점원","아니요 손님이 없을 거 같아서 정리하고 있었어요","박은영_가방_2","B","의복의류점","가방","0","2","마감시간문의","","A","","","","","아니요 손님이 없을 거 같아서 정리하고 있었어요","손님, 정리","","손님/대상",""
"고객","마네킹에 디피된 거 얼마예요?","박은영_가방_2","B","의복의류점","가방","1","3","제품가격문의","","Q","","마네킹에 디피된 거 얼마예요?","","","","마네킹, 디피, 얼마","디피/진열","",""
"점원","베이지 얘기하는 거지요?","박은영_가방_2","B","의복의류점","가방","0","4","제품가격문의","색상확인","Q","","","베이지 얘기하는 거지요?","","","베이지","","베이지/색상",""
"고객","예","박은영_가방_2","B","의복의류점","가방","1","5","제품가격문의","색상확인","A","","","","예","","","","",""
"점원","칠만원이요","박은영_가방_2","B","의복의류점","가방","0","6","제품가격문의","","A","3","","","","칠만원이요","칠만원","","칠만원/금액",""
"고객","요거 소재가 뭐예요?","박은영_가방_2","B","의복의류점","가방","1","7","가방소재문의","","Q","","요거 소재가 뭐예요?","","","","소재","","",""
"점원","이거 독일 린넨입니다","박은영_가방_2","B","의복의류점","가방","0","8","가방소재문의","","A","","","","","이거 독일 린넨입니다","이거, 독일 린넨","","독일 린넨/재질",""
"고객","직접 만드신 거예요?","박은영_가방_2","B","의복의류점","가방","1","9","제품정보문의","","Q","","직접 만드신 거예요?","","","","","","",""
"점원","예","박은영_가방_2","B","의복의류점","가방","0","10","제품정보문의","","A","","","","","예","","","",""
"고객","색상은 요거 뿐이에요?","박은영_가방_2","B","의복의류점","가방","1","11","색상에대한문의","","Q","","색상은 요거 뿐이에요?","","","","색상","","",""
"점원","한 가지에요","박은영_가방_2","B","의복의류점","가방","0","12","색상에대한문의","","A","","","","","한 가지에요","한 가지","","한 가지/가짓수",""
"고객","요거 가격이?","박은영_가방_2","B","의복의류점","가방","1","13","제품가격문의","","Q","","요거 가격이?","","","","가격","","",""
"점원","현금가로 칠만 원이요","박은영_가방_2","B","의복의류점","가방","0","14","제품가격문의","","A","","","","","현금가로 칠만 원이요","현금가, 칠만 원","","현금가/결재방식, 칠만 원/금액",""
"고객","요거하고 디자인이 다른 거 좀 있나요?","박은영_가방_2","B","의복의류점","가방","1","15","유사제품추천요청","","Q","","요거하고 디자인이 다른 거 좀 있나요?","","","","디자인","","",""
"점원","이것 보시면 원단 다 세탁기에 돌리셔도 됩니다","박은영_가방_2","B","의복의류점","가방","0","16","유사제품추천요청","","A","","","","","이것 보시면 원단 다 세탁기에 돌리셔도 됩니다","원단, 세탁기","","",""
"고객","아 요거는 가격이 얼마에요?","박은영_가방_2","B","의복의류점","가방","1","17","제품가격문의","","Q","","아 요거는 가격이 얼마에요?","","","","가격, 얼마","","",""
"점원","사만 오천 원이요","박은영_가방_2","B","의복의류점","가방","0","18","제품가격문의","","A","","","","","사만 오천 원이요","사만 오천 원","","사만 오천 원/금액",""
"고객","저 위에 거는요?","박은영_가방_2","B","의복의류점","가방","1","19","제품가격문의","","Q","","저 위에 거는요?","","","","위","","",""
"점원","십이만 원이요 원단 길드 거예요","박은영_가방_2","B","의복의류점","가방","0","20","제품가격문의","","A","","","","","십이만 원이요 원단 길드 거예요","십이만 원, 원단, 길드","","십이만 원/금액, 길드/원단회사",""
"고객","여기만 오픈하신 지 얼마쯤 되셨어요?","박은영_가방_2","B","의복의류점","가방","1","21","운영기간문의","","Q","","여기만 오픈하신 지 얼마쯤 되셨어요?","","","","여기, 오픈","","",""
"점원","여기 온 지는 삼 년 됐어요","박은영_가방_2","B","의복의류점","가방","0","22","운영기간문의","","A","","","","","여기 온 지는 삼 년 됐어요","여기, 삼 년","","삼 년/기간",""
"고객","그 클러치백 같은 거 좀","박은영_가방_2","B","의복의류점","가방","1","23","종류별가방제품문의요청","","Q","","그 클러치백 같은 거 좀","","","","클러치백","","클러치백/제품",""
"점원","그것도 있어요","박은영_가방_2","B","의복의류점","가방","0","24","종류별가방제품문의요청","","A","","","","","그것도 있어요","","","",""
"고객","스팽글 이런 거 달린 거는?","박은영_가방_2","B","의복의류점","가방","1","25","종류별가방제품문의요청","","Q","","스팽글 이런 거 달린 거는?","","","","스팽글","","스팽글/장식",""
"점원","네 그런 거는 만 원짜리도 있어요","박은영_가방_2","B","의복의류점","가방","0","26","종류별가방제품문의요청","","A","","","","","네 그런 거는 만 원짜리도 있어요","만 원","","만 원/금액",""
"고객","요거는 무슨 주머니에요?","박은영_가방_2","B","의복의류점","가방","1","27","제품정보문의","","Q","","요거는 무슨 주머니에요?","","","","주머니","","주머니/부분",""
"점원","소지품 같은 거 넣는 겁니다","박은영_가방_2","B","의복의류점","가방","0","28","제품정보문의","","A","","","","","소지품 같은 거 넣는 겁니다","소지품","","소지품/가방내용물",""
"고객","요거 스팽글이 잘 떨어지지는 않아요?","박은영_가방_2","B","의복의류점","가방","1","29","제품정보문의","","Q","","요거 스팽글이 잘 떨어지지는 않아요?","","","","스팽글","","스팽글/장식",""
"점원","잘 안떨어집니다","박은영_가방_2","B","의복의류점","가방","0","30","제품정보문의","","A","","","","","잘 안떨어집니다","","","",""
